,y,x,stop_id_old,stop_id_new,stop_name_new
1566,8.656854249,10.60660172,place-rsmnl,70175,Reservoir - Outbound
1565,8.656854249,10.60660172,place-rsmnl,70174,Reservoir - Inbound
411,7.949747468,11.3137085,place-chhil,70173,Chestnut Hill - Outbound
410,7.949747468,11.3137085,place-chhil,70172,Chestnut Hill - Inbound
1136,7.242640687,12.02081528,place-newto,70171,Newton Centre - Outbound
1135,7.242640687,12.02081528,place-newto,70170,Newton Centre - Inbound
1127,6.535533906,12.72792206,place-newtn,70169,Newton Highlands - Outbound
1126,6.535533906,12.72792206,place-newtn,70168,Newton Highlands - Inbound
573,5.828427125,13.43502884,place-eliot,70167,Eliot - Outbound
572,5.828427125,13.43502884,place-eliot,70166,Eliot - Inbound
1881,5.121320344,14.14213562,place-waban,70165,Waban - Outbound
1880,5.121320344,14.14213562,place-waban,70164,Waban - Inbound
1962,4.414213562,14.8492424,place-woodl,70163,Woodland - Outbound
1961,4.414213562,14.8492424,place-woodl,70162,Woodland - Inbound
1550,3.414213562,14.8492424,place-river,70161,Riverside - Outbound
1549,3.414213562,14.8492424,place-river,70160,Riverside - Inbound
257,17.60660172,5.656854249,place-boyls,70159,Boylston - Outbound
256,17.60660172,5.656854249,place-boyls,70158,Boylston - Inbound
60,16.60660172,5.656854249,place-armnl,70157,Arlington - Outbound
59,16.60660172,5.656854249,place-armnl,70156,Arlington - Inbound
477,15.60660172,5.656854249,place-coecl,70155,Copley - Outbound
476,15.60660172,5.656854249,place-coecl,70154,Copley - Inbound
828,14.60660172,5.656854249,place-hymnl,70153,Hynes - Outbound
827,14.60660172,5.656854249,place-hymnl,70152,Hynes - Inbound
905,13.60660172,5.656854249,place-kencl,70151,Kenmore - Outbound
904,13.60660172,5.656854249,place-kencl,70150,Kenmore - Inbound
208,12.89949494,4.949747468,place-bland,70149,Blandford Street - Outbound
207,12.89949494,4.949747468,place-bland,70148,Blandford Street - Inbound
339,12.19238816,4.242640687,place-buest,70147,Boston Univ East - Outbound
338,12.19238816,4.242640687,place-buest,70146,Boston Univ East - Inbound
330,11.48528137,3.535533906,place-bucen,70145,Boston Univ Central - Outbound
329,11.48528137,3.535533906,place-bucen,70144,Boston Univ Central - Inbound
357,10.77817459,2.828427125,place-buwst,70143,Boston Univ West - Outbound
356,10.77817459,2.828427125,place-buwst,70142,Boston Univ West - Inbound
1777,10.07106781,2.121320344,place-stplb,70141,Saint Paul Street - Outbound
1776,10.07106781,2.121320344,place-stplb,70140,Saint Paul Street - Inbound
1351,9.363961031,1.414213562,place-plsgr,70139,Pleasant Street - Outbound
1350,9.363961031,1.414213562,place-plsgr,70138,Pleasant Street - Inbound
