origin_id,origin_name,origin_lat,origin_lon,dest_id,dest_name,dest_lat,dest_long,line
70228,Fairbanks Street - Inbound,42.339725,-71.131073,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70230,Washington Square - Inbound,42.339394,-71.13533,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70232,Tappan Street - Inbound,42.338459,-71.138702,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70234,Dean Road - Inbound,42.337807,-71.141853,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70236,Englewood Avenue - Inbound,42.336971,-71.14566,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70238,Cleveland Circle - Inbound,42.336142,-71.149326,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70240,Prudential - Inbound,42.34557,-71.081696,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70242,Symphony - Inbound,42.342687,-71.085056,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70244,Northeastern - Inbound,42.340401,-71.088806,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70246,Museum of Fine Arts - Inbound,42.337711,-71.095512,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70248,Longwood Medical Area - Inbound,42.33596,-71.100052,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70250,Brigham Circle - Inbound,42.334229,-71.104609,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70252,Fenwood Road - Inbound,42.333706,-71.105728,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70254,Mission Park - Inbound,42.333195,-71.109756,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70256,Riverway - Inbound,42.331684,-71.111931,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70258,Back of the Hill - Inbound,42.330139,-71.111313,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
70260,Heath Street,42.328681,-71.110559,70200,Park Street - Green Line Eastbound,42.35639457,-71.0624242,Green
