"","origin_name","dest_name","dep_time_by15.x","origin_id","dest_id","route_id","benchmark_travel_time_sec","orig_name_old","dest_name_old","link","avg_pct_benchmark"
"70","Fenwood Road - Green Line - Park Street & North","Brigham Circle - Green Line - Park Street & North","2017-12-28 08:29:00",70252,70250,"Green-E",60,"place-fenwd","place-brmnl","place-fenwd|place-brmnl",0.4
"71","Fields Corner - Red Line - Alewife","Savin Hill - Red Line - Alewife","2017-12-28 08:29:00",70090,70088,"Red",180,"place-fldcr","place-shmnl","place-fldcr|place-shmnl",0.522222222222222
"72","Fields Corner - Red Line - Ashmont","Shawmut - Red Line - Ashmont","2017-12-28 08:29:00",70089,70091,"Red",180,"place-fldcr","place-smmnl","place-fldcr|place-smmnl",0.383333333333333
"73","Forest Hills - Orange Line","Green Street - Orange Line - Oak Grove","2017-12-28 08:29:00",70001,70003,"Orange",60,"place-forhl","place-grnst","place-forhl|place-grnst",1.59166666666667
"74","Government Center - Blue Line - Wonderland","State Street - Blue Line - Wonderland","2017-12-28 08:29:00",70040,70042,"Blue",60,"place-gover","place-state","place-gover|place-state",0.558333333333333
"75","Government Center - Green Line - Copley & West","Park Street - Green Line - (C) Cleveland Circle","2017-12-28 08:29:00",70202,70197,"Green-C",180,"place-gover","place-pktrm","place-gover|place-pktrm",1.01865079365079
"76","Government Center - Green Line - North Station & North","Haymarket - Green Line - North Station & North","2017-12-28 08:29:00",70201,70203,"Green-E",120,"place-gover","place-haecl","place-gover|place-haecl",0.502083333333333
"77","Green Street - Orange Line - Oak Grove","Stony Brook - Orange Line - Oak Grove","2017-12-28 08:29:00",70003,70005,"Orange",120,"place-grnst","place-sbmnl","place-grnst|place-sbmnl",0.575
"78","Griggs Street - Green Line - (B) Boston College","Allston Street - Green Line - (B) Boston College","2017-12-28 08:29:00",70129,70127,"Green-B",60,"place-grigg","place-alsgr","place-grigg|place-alsgr",0.405555555555556
"79","Griggs Street - Green Line - Park Street & North","Harvard Avenue - Green Line - Park Street & North","2017-12-28 08:29:00",70128,70130,"Green-B",120,"place-grigg","place-harvd","place-grigg|place-harvd",0.25
"80","Harvard - Red Line - Alewife","Porter - Red Line - Alewife","2017-12-28 08:29:00",70068,70066,"Red",120,"place-harsq","place-portr","place-harsq|place-portr",0.891666666666667
"81","Harvard - Red Line - Ashmont/Braintree","Central - Red Line - Ashmont/Braintree","2017-12-28 08:29:00",70067,70069,"Red",240,"place-harsq","place-cntsq","place-harsq|place-cntsq",0.69375
"82","Harvard Avenue - Green Line - (B) Boston College","Griggs Street - Green Line - (B) Boston College","2017-12-28 08:29:00",70131,70129,"Green-B",60,"place-harvd","place-grigg","place-harvd|place-grigg",0.466666666666667
"83","Hawes Street - Green Line - (C) Cleveland Circle","Kent Street - Green Line - (C) Cleveland Circle","2017-12-28 08:29:00",70213,70215,"Green-C",60,"place-hwsst","place-kntst","place-hwsst|place-kntst",0.0833333333333333
"84","Hawes Street - Green Line - Park Street & North","Saint Marys Street - Green Line - Park Street & North","2017-12-28 08:29:00",70214,70212,"Green-C",120,"place-hwsst","place-smary","place-hwsst|place-smary",0.4
"85","Haymarket - Green Line - Copley & West","Government Center - Green Line - Copley & West","2017-12-28 08:29:00",70204,70202,"Green-E",120,"place-haecl","place-gover","place-haecl|place-gover",0.588333333333333
"86","Haymarket - Green Line - North Station & North","North Station - Green Line - Lechmere","2017-12-28 08:29:00",70203,70205,"Green-E",120,"place-haecl","place-north","place-haecl|place-north",0.583333333333333
"87","Haymarket - Orange Line - Forest Hills","State Street - Orange Line - Forest Hills","2017-12-28 08:29:00",70024,70022,"Orange",120,"place-haecl","place-state","place-haecl|place-state",0.404166666666667
"88","Haymarket - Orange Line - Oak Grove","North Station - Orange Line - Oak Grove","2017-12-28 08:29:00",70025,70027,"Orange",120,"place-haecl","place-north","place-haecl|place-north",0.225
"89","Hynes Convention Center - Green Line - Kenmore & West","Kenmore - Green Line - Boston College/Cleveland Circle/Riverside","2017-12-28 08:29:00",70153,70151,"Green-C",120,"place-hymnl","place-kencl","place-hymnl|place-kencl",0.87037037037037
"90","Hynes Convention Center - Green Line - Park Street & North","Copley - Green Line - Park Street & North","2017-12-28 08:29:00",70152,70154,"Green-B",180,"place-hymnl","place-coecl","place-hymnl|place-coecl",0.541071428571429
"91","Jackson Square - Orange Line - Forest Hills","Stony Brook - Orange Line - Forest Hills","2017-12-28 08:29:00",70006,70004,"Orange",120,"place-jaksn","place-sbmnl","place-jaksn|place-sbmnl",0.608333333333333
"92","Jackson Square - Orange Line - Oak Grove","Roxbury Crossing - Orange Line - Oak Grove","2017-12-28 08:29:00",70007,70009,"Orange",180,"place-jaksn","place-rcmnl","place-jaksn|place-rcmnl",0.561111111111111
"93","JFK/UMass - Red Line - Alewife (from Ashmont)","Andrew - Red Line - Alewife","2017-12-28 08:29:00",70086,70084,"Red",180,"place-jfk","place-andrw","place-jfk|place-andrw",1.40555555555556
"94","JFK/UMass - Red Line - Alewife (from Braintree)","Andrew - Red Line - Alewife","2017-12-28 08:29:00",70096,70084,"Red",180,"place-jfk","place-andrw","place-jfk|place-andrw",1.21666666666667
"95","JFK/UMass - Red Line - Ashmont","Savin Hill - Red Line - Ashmont","2017-12-28 08:29:00",70085,70087,"Red",120,"place-jfk","place-shmnl","place-jfk|place-shmnl",0.7125
"96","Kendall/MIT - Red Line - Alewife","Central - Red Line - Alewife","2017-12-28 08:29:00",70072,70070,"Red",180,"place-knncl","place-cntsq","place-knncl|place-cntsq",0.546296296296296
"97","Kendall/MIT - Red Line - Ashmont/Braintree","Charles/MGH - Red Line - Ashmont/Braintree","2017-12-28 08:29:00",70071,70073,"Red",180,"place-knncl","place-chmnl","place-knncl|place-chmnl",1.08888888888889
"98","Kenmore - Green Line - Boston College/Cleveland Circle/Riverside","Blandford Street - Green Line - (B) Boston College","2017-12-28 08:29:00",70151,70149,"Green-B",120,"place-kencl","place-bland","place-kencl|place-bland",0.618253968253968
"99","Kenmore - Green Line - Park Street & North","Hynes Convention Center - Green Line - Park Street & North","2017-12-28 08:29:00",70150,70152,"Green-B",180,"place-kencl","place-hymnl","place-kencl|place-hymnl",0.735714285714286
"100","Kent Street - Green Line - (C) Cleveland Circle","Saint Paul Street - Green Line - (C) Cleveland Circle","2017-12-28 08:29:00",70215,70217,"Green-C",60,"place-kntst","place-stpul","place-kntst|place-stpul",0.341666666666667
"101","Kent Street - Green Line - Park Street & North","Hawes Street - Green Line - Park Street & North","2017-12-28 08:29:00",70216,70214,"Green-C",60,"place-kntst","place-hwsst","place-kntst|place-hwsst",0.5
"102","Lechmere - Green Line - Copley & West","Science Park - Green Line - Copley & West","2017-12-28 08:29:00",70210,70208,"Green-E",120,"place-lech","place-spmnl","place-lech|place-spmnl",0.658333333333333
"103","Longwood - Green Line - (D) Riverside","Brookline Village - Green Line - (D) Riverside","2017-12-28 08:29:00",70183,70181,"Green-D",120,"place-longw","place-bvmnl","place-longw|place-bvmnl",0.65
"104","Longwood Medical Area - Green Line - (E) Heath Street","Brigham Circle - Green Line - (E) Heath Street","2017-12-28 08:29:00",70247,70249,"Green-E",120,"place-lngmd","place-brmnl","place-lngmd|place-brmnl",0.5
"105","Longwood Medical Area - Green Line - Park Street & North","Museum of Fine Arts - Green Line - Park Street & North","2017-12-28 08:29:00",70248,70246,"Green-E",120,"place-lngmd","place-mfa","place-lngmd|place-mfa",0.8
"106","Malden Center - Orange Line - Forest Hills","Wellington - Orange Line - Forest Hills","2017-12-28 08:29:00",70034,70032,"Orange",240,"place-mlmnl","place-welln","place-mlmnl|place-welln",0.76875
"107","Massachusetts Avenue - Orange Line - Forest Hills","Ruggles - Orange Line - Forest Hills","2017-12-28 08:29:00",70012,70010,"Orange",60,"place-masta","place-rugg","place-masta|place-rugg",2.31111111111111
"108","Massachusetts Avenue - Orange Line - Oak Grove","Back Bay - Orange Line - Oak Grove","2017-12-28 08:29:00",70013,70015,"Orange",120,"place-masta","place-bbsta","place-masta|place-bbsta",0.525
"109","Maverick - Blue Line - Bowdoin","Aquarium - Blue Line - Bowdoin","2017-12-28 08:29:00",70045,70043,"Blue",120,"place-mvbcl","place-aqucl","place-mvbcl|place-aqucl",0.736111111111111
"110","Maverick - Blue Line - Wonderland","Airport - Blue Line - Wonderland","2017-12-28 08:29:00",70046,70048,"Blue",120,"place-mvbcl","place-aport","place-mvbcl|place-aport",0.985
"111","Mission Park - Green Line - (E) Heath Street","Riverway - Green Line - (E) Heath Street","2017-12-28 08:29:00",70253,70255,"Green-E",120,"place-mispk","place-rvrwy","place-mispk|place-rvrwy",0.6
"112","Mission Park - Green Line - Park Street & North","Fenwood Road - Green Line - Park Street & North","2017-12-28 08:29:00",70254,70252,"Green-E",180,"place-mispk","place-fenwd","place-mispk|place-fenwd",0.316666666666667
"113","Museum of Fine Arts - Green Line - (E) Heath Street","Longwood Medical Area - Green Line - (E) Heath Street","2017-12-28 08:29:00",70245,70247,"Green-E",180,"place-mfa","place-lngmd","place-mfa|place-lngmd",0.316666666666667
"114","Museum of Fine Arts - Green Line - Park Street & North","Northeastern University - Green Line - Park Street & North","2017-12-28 08:29:00",70246,70244,"Green-E",240,"place-mfa","place-nuniv","place-mfa|place-nuniv",0.325
"115","Newton Centre - Green Line - (D) Riverside","Newton Highlands - Green Line - (D) Riverside","2017-12-28 08:29:00",70171,70169,"Green-D",180,"place-newto","place-newtn","place-newto|place-newtn",0.544444444444444
"116","Newton Centre - Green Line - Park Street & North","Chestnut Hill - Green Line - Park Street & North","2017-12-28 08:29:00",70170,70172,"Green-D",240,"place-newto","place-chhil","place-newto|place-chhil",0.634722222222222
"117","Newton Highlands - Green Line - (D) Riverside","Eliot - Green Line - (D) Riverside","2017-12-28 08:29:00",70169,70167,"Green-D",120,"place-newtn","place-eliot","place-newtn|place-eliot",1.22222222222222
"118","Newton Highlands - Green Line - Park Street & North","Newton Centre - Green Line - Park Street & North","2017-12-28 08:29:00",70168,70170,"Green-D",180,"place-newtn","place-newto","place-newtn|place-newto",0.455555555555556
"119","North Quincy - Red Line - Alewife","JFK/UMass - Red Line - Alewife (from Braintree)","2017-12-28 08:29:00",70098,70096,"Red",540,"place-nqncy","place-jfk","place-nqncy|place-jfk",0.846296296296296
"120","North Quincy - Red Line - Braintree","Wollaston - Red Line - Braintree","2017-12-28 08:29:00",70097,70099,"Red",120,"place-nqncy","place-wlsta","place-nqncy|place-wlsta",0.641666666666667
"121","North Station - Green Line - Copley & West","Haymarket - Green Line - Copley & West","2017-12-28 08:29:00",70206,70204,"Green-E",120,"place-north","place-haecl","place-north|place-haecl",0.528333333333333
"122","North Station - Green Line - Lechmere","Science Park - Green Line - Lechmere","2017-12-28 08:29:00",70205,70207,"Green-E",180,"place-north","place-spmnl","place-north|place-spmnl",0.652777777777778
"123","North Station - Orange Line - Forest Hills","Haymarket - Orange Line - Forest Hills","2017-12-28 08:29:00",70026,70024,"Orange",120,"place-north","place-haecl","place-north|place-haecl",0.286111111111111
"124","North Station - Orange Line - Oak Grove","Community College - Orange Line - Oak Grove","2017-12-28 08:29:00",70027,70029,"Orange",120,"place-north","place-ccmnl","place-north|place-ccmnl",0.808333333333333
"125","Northeastern University - Green Line - (E) Heath Street","Museum of Fine Arts - Green Line - (E) Heath Street","2017-12-28 08:29:00",70243,70245,"Green-E",180,"place-nuniv","place-mfa","place-nuniv|place-mfa",0.412962962962963
"126","Northeastern University - Green Line - Park Street & North","Symphony - Green Line - Park Street & North","2017-12-28 08:29:00",70244,70242,"Green-E",120,"place-nuniv","place-symcl","place-nuniv|place-symcl",0.3125
"127","Oak Grove - Orange Line","Malden Center - Orange Line - Forest Hills","2017-12-28 08:29:00",70036,70034,"Orange",120,"place-ogmnl","place-mlmnl","place-ogmnl|place-mlmnl",0.669444444444444
"128","Orient Heights - Blue Line - Bowdoin","Wood Island - Blue Line - Bowdoin","2017-12-28 08:29:00",70051,70049,"Blue",120,"place-orhte","place-wimnl","place-orhte|place-wimnl",0.858333333333333
"129","Orient Heights - Blue Line - Wonderland","Suffolk Downs - Blue Line - Wonderland","2017-12-28 08:29:00",70052,70054,"Blue",120,"place-orhte","place-sdmnl","place-orhte|place-sdmnl",0.9875
"130","Packards Corner - Green Line - Park Street & North","Babcock Street - Green Line - Park Street & North","2017-12-28 08:29:00",70134,70136,"Green-B",120,"place-brico","place-babck","place-brico|place-babck",0.366666666666667
