"","from_stop","to_stop","from.stop.code","from.stop.name","from.stop.desc","from.parent.stat","to.stop.code","to.stop.name","to.stop.desc","to.parent.stat"
"105",70114,70116,70114,"Chiswick Road","Chiswick Road - Green Line - Park Street & North","place-chswk",70116,"Sutherland Road","Sutherland Road - Green Line - Park Street & North","place-sthld"
"106",70127,70125,70127,"Allston Street","Allston Street - Green Line - (B) Boston College","place-alsgr",70125,"Warren Street","Warren Street - Green Line - (B) Boston College","place-wrnst"
"107",70124,70126,70124,"Warren Street","Warren Street - Green Line - Park Street & North","place-wrnst",70126,"Allston Street","Allston Street - Green Line - Park Street & North","place-alsgr"
"108",70129,70127,70129,"Griggs Street","Griggs Street - Green Line - (B) Boston College","place-grigg",70127,"Allston Street","Allston Street - Green Line - (B) Boston College","place-alsgr"
"109",70126,70128,70126,"Allston Street","Allston Street - Green Line - Park Street & North","place-alsgr",70128,"Griggs Street","Griggs Street - Green Line - Park Street & North","place-grigg"
"110",70131,70129,70131,"Harvard Avenue","Harvard Avenue - Green Line - (B) Boston College","place-harvd",70129,"Griggs Street","Griggs Street - Green Line - (B) Boston College","place-grigg"
"111",70128,70130,70128,"Griggs Street","Griggs Street - Green Line - Park Street & North","place-grigg",70130,"Harvard Avenue","Harvard Avenue - Green Line - Park Street & North","place-harvd"
"112",70137,70135,70137,"Babcock Street","Babcock Street - Green Line - (B) Boston College","place-babck",70135,"Packards Corner","Packards Corner - Green Line - (B) Boston College","place-brico"
"113",70134,70136,70134,"Packards Corner","Packards Corner - Green Line - Park Street & North","place-brico",70136,"Babcock Street","Babcock Street - Green Line - Park Street & North","place-babck"
"114",70139,70137,70139,"Pleasant Street","Pleasant Street - Green Line - (B) Boston College","place-plsgr",70137,"Babcock Street","Babcock Street - Green Line - (B) Boston College","place-babck"
"115",70136,70138,70136,"Babcock Street","Babcock Street - Green Line - Park Street & North","place-babck",70138,"Pleasant Street","Pleasant Street - Green Line - Park Street & North","place-plsgr"
"116",70141,70139,70141,"Saint Paul Street","Saint Paul Street - Green Line - (B) Boston College","place-stplb",70139,"Pleasant Street","Pleasant Street - Green Line - (B) Boston College","place-plsgr"
"117",70138,70140,70138,"Pleasant Street","Pleasant Street - Green Line - Park Street & North","place-plsgr",70140,"Saint Paul Street","Saint Paul Street - Green Line - Park Street & North","place-stplb"
"118",70143,70141,70143,"Boston University West","Boston University West - Green Line - (B) Boston College","place-buwst",70141,"Saint Paul Street","Saint Paul Street - Green Line - (B) Boston College","place-stplb"
"119",70140,70142,70140,"Saint Paul Street","Saint Paul Street - Green Line - Park Street & North","place-stplb",70142,"Boston University West","Boston University West - Green Line - Park Street & North","place-buwst"
"120",70145,70143,70145,"Boston University Central","Boston University Central - Green Line - (B) Boston College","place-bucen",70143,"Boston University West","Boston University West - Green Line - (B) Boston College","place-buwst"
"121",70142,70144,70142,"Boston University West","Boston University West - Green Line - Park Street & North","place-buwst",70144,"Boston University Central","Boston University Central - Green Line - Park Street & North","place-bucen"
"122",70147,70145,70147,"Boston University East","Boston University East - Green Line - (B) Boston College","place-buest",70145,"Boston University Central","Boston University Central - Green Line - (B) Boston College","place-bucen"
"123",70144,70146,70144,"Boston University Central","Boston University Central - Green Line - Park Street & North","place-bucen",70146,"Boston University East","Boston University East - Green Line - Park Street & North","place-buest"
"124",70149,70147,70149,"Blandford Street","Blandford Street - Green Line - (B) Boston College","place-bland",70147,"Boston University East","Boston University East - Green Line - (B) Boston College","place-buest"
"125",70146,70148,70146,"Boston University East","Boston University East - Green Line - Park Street & North","place-buest",70148,"Blandford Street","Blandford Street - Green Line - Park Street & North","place-bland"
"126",70151,70149,70151,"Kenmore","Kenmore - Green Line - Boston College/Cleveland Circle/Riverside","place-kencl",70149,"Blandford Street","Blandford Street - Green Line - (B) Boston College","place-bland"
"127",70212,70150,70212,"Saint Marys Street","Saint Marys Street - Green Line - Park Street & North","place-smary",70150,"Kenmore","Kenmore - Green Line - Park Street & North","place-kencl"
"128",70148,70150,70148,"Blandford Street","Blandford Street - Green Line - Park Street & North","place-bland",70150,"Kenmore","Kenmore - Green Line - Park Street & North","place-kencl"
"129",70186,70150,70186,"Fenway","Fenway - Green Line - Park Street & North","place-fenwy",70150,"Kenmore","Kenmore - Green Line - Park Street & North","place-kencl"
"130",70153,70151,70153,"Hynes Convention Center","Hynes Convention Center - Green Line - Kenmore & West","place-hymnl",70151,"Kenmore","Kenmore - Green Line - Boston College/Cleveland Circle/Riverside","place-kencl"
"131",70150,70152,70150,"Kenmore","Kenmore - Green Line - Park Street & North","place-kencl",70152,"Hynes Convention Center","Hynes Convention Center - Green Line - Park Street & North","place-hymnl"
"132",70155,70153,70155,"Copley","Copley - Green Line - Kenmore & West/Heath Street","place-coecl",70153,"Hynes Convention Center","Hynes Convention Center - Green Line - Kenmore & West","place-hymnl"
"133",70152,70154,70152,"Hynes Convention Center","Hynes Convention Center - Green Line - Park Street & North","place-hymnl",70154,"Copley","Copley - Green Line - Park Street & North","place-coecl"
"134",70240,70154,70240,"Prudential","Prudential - Green Line - Park Street & North","place-prmnl",70154,"Copley","Copley - Green Line - Park Street & North","place-coecl"
"135",70157,70155,70157,"Arlington","Arlington - Green Line - Copley & West","place-armnl",70155,"Copley","Copley - Green Line - Kenmore & West/Heath Street","place-coecl"
"136",70154,70156,70154,"Copley","Copley - Green Line - Park Street & North","place-coecl",70156,"Arlington","Arlington - Green Line - Park Street & North","place-armnl"
"137",70159,70157,70159,"Boylston","Boylston - Green Line - Copley & West","place-boyls",70157,"Arlington","Arlington - Green Line - Copley & West","place-armnl"
"138",70156,70158,70156,"Arlington","Arlington - Green Line - Park Street & North","place-armnl",70158,"Boylston","Boylston - Green Line - Park Street & North","place-boyls"
"139",70196,70159,70196,"Park Street","Park Street - Green Line - (B) Boston College","place-pktrm",70159,"Boylston","Boylston - Green Line - Copley & West","place-boyls"
"140",70197,70159,70197,"Park Street","Park Street - Green Line - (C) Cleveland Circle","place-pktrm",70159,"Boylston","Boylston - Green Line - Copley & West","place-boyls"
"141",70199,70159,70199,"Park Street","Park Street - Green Line - (E) Heath Street","place-pktrm",70159,"Boylston","Boylston - Green Line - Copley & West","place-boyls"
"142",70198,70159,70198,"Park Street","Park Street - Green Line - (D) Riverside","place-pktrm",70159,"Boylston","Boylston - Green Line - Copley & West","place-boyls"
"143",70163,70161,70163,"Woodland","Woodland - Green Line - (D) Riverside","place-woodl",70161,"Riverside","Riverside - Green Line - Exit Only","place-river"
"144",70160,70162,70160,"Riverside","Riverside - Green Line - Park Street & North","place-river",70162,"Woodland","Woodland - Green Line - Park Street & North","place-woodl"
"145",70165,70163,70165,"Waban","Waban - Green Line - (D) Riverside","place-waban",70163,"Woodland","Woodland - Green Line - (D) Riverside","place-woodl"
"146",70162,70164,70162,"Woodland","Woodland - Green Line - Park Street & North","place-woodl",70164,"Waban","Waban - Green Line - Park Street & North","place-waban"
"147",70167,70165,70167,"Eliot","Eliot - Green Line - (D) Riverside","place-eliot",70165,"Waban","Waban - Green Line - (D) Riverside","place-waban"
"148",70164,70166,70164,"Waban","Waban - Green Line - Park Street & North","place-waban",70166,"Eliot","Eliot - Green Line - Park Street & North","place-eliot"
"149",70169,70167,70169,"Newton Highlands","Newton Highlands - Green Line - (D) Riverside","place-newtn",70167,"Eliot","Eliot - Green Line - (D) Riverside","place-eliot"
"150",70166,70168,70166,"Eliot","Eliot - Green Line - Park Street & North","place-eliot",70168,"Newton Highlands","Newton Highlands - Green Line - Park Street & North","place-newtn"
"151",70171,70169,70171,"Newton Centre","Newton Centre - Green Line - (D) Riverside","place-newto",70169,"Newton Highlands","Newton Highlands - Green Line - (D) Riverside","place-newtn"
"152",70168,70170,70168,"Newton Highlands","Newton Highlands - Green Line - Park Street & North","place-newtn",70170,"Newton Centre","Newton Centre - Green Line - Park Street & North","place-newto"
"153",70173,70171,70173,"Chestnut Hill","Chestnut Hill - Green Line - (D) Riverside","place-chhil",70171,"Newton Centre","Newton Centre - Green Line - (D) Riverside","place-newto"
"154",70170,70172,70170,"Newton Centre","Newton Centre - Green Line - Park Street & North","place-newto",70172,"Chestnut Hill","Chestnut Hill - Green Line - Park Street & North","place-chhil"
"155",70175,70173,70175,"Reservoir","Reservoir - Green Line - (D) Riverside","place-rsmnl",70173,"Chestnut Hill","Chestnut Hill - Green Line - (D) Riverside","place-chhil"
"156",70172,70174,70172,"Chestnut Hill","Chestnut Hill - Green Line - Park Street & North","place-chhil",70174,"Reservoir","Reservoir - Green Line - Park Street & North","place-rsmnl"
"157",70177,70175,70177,"Beaconsfield","Beaconsfield - Green Line - (D) Riverside","place-bcnfd",70175,"Reservoir","Reservoir - Green Line - (D) Riverside","place-rsmnl"
