,stop_id_old,stop_code_old,stop_name_old,stop_desc_old,stop_lat,stop_lon,zone_id_old,stop_url_old,location_type_old,parent_station_old,wheelchair_boarding_old,stop_id_new,stop_code_new,stop_name_new,stop_desc_new,zone_id_new,stop_url_new,location_type_new,parent_station_new,wheelchair_boarding_new
103,70094,70094.0,Ashmont - Inbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,place-asmnl,,Ashmont,,,,1.0,,1.0
104,70261,70261.0,Ashmont - Mattapan Line Outbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,334,334.0,Ashmont Busway,,,,0.0,place-asmnl,0.0
105,70261,70261.0,Ashmont - Mattapan Line Outbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,536,536.0,Dorchester Ave @ Hurlcroft Ave,,,,0.0,,1.0
106,70261,70261.0,Ashmont - Mattapan Line Outbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70093,70093.0,Ashmont - Outbound,,,,0.0,place-asmnl,1.0
107,70261,70261.0,Ashmont - Mattapan Line Outbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70094,70094.0,Ashmont - Inbound,,,,0.0,place-asmnl,1.0
108,70261,70261.0,Ashmont - Mattapan Line Outbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70261,70261.0,Ashmont - Mattapan Line,,,,0.0,place-asmnl,1.0
109,70261,70261.0,Ashmont - Mattapan Line Outbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,place-asmnl,,Ashmont,,,,1.0,,1.0
110,70262,70262.0,Ashmont - Mattapan Line Inbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,334,334.0,Ashmont Busway,,,,0.0,place-asmnl,0.0
111,70262,70262.0,Ashmont - Mattapan Line Inbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,536,536.0,Dorchester Ave @ Hurlcroft Ave,,,,0.0,,1.0
112,70262,70262.0,Ashmont - Mattapan Line Inbound,,42.284652,-71.064489,,,0.0,place-asmnl,0.0,70093,70093.0,Ashmont - Outbound,,,,0.0,place-asmnl,1.0
